AVPR1A,0.89, Yes, 28.40
AZIN1,0.79, Yes, 22.00
B3GALNT2,0.90, Yes, 27.00
B4GALT1,0.82, Yes, 22.70
BAK1,0.94, Yes, 32.00
BAZ1B,0.92, Yes, 23.90
BCAS1,0.89, Yes, 16.90
BCL9,0.94, Yes, 13.60
BEND6,0.87, Yes, 17.20
BLOC1S4,0.63, Yes, 15.60
BMP2,0.91, Yes, 19.90
BNIPL,0.85, Yes, 21.30
BPIFA2,0.85, Yes, 25.00
BRD2,0.87, Yes, 13.30
BROX,0.87, Yes, 17.30
BTD,0.86, Yes, 22.10
BTN2A2,0.87, Yes, 34.20
C10orf88,0.85, Yes, 21.90
C11orf40,0.82, Yes, 23.00
C11orf87,0.65, Yes, 32.30
C12orf65,0.84, Yes, 14.60
C14orf79,0.85, Yes, 19.80
C15orf57,0.69, Yes, 13.70
C16orf46,0.89, Yes, 17.20
C17orf104,0.90, Yes, 16.40
C17orf75,0.83, Yes, 17.70
C19orf73,0.71, Yes, 18.30
C1D,0.76, Yes, 11.50
C1R,0.87, Yes, 22.10
C1orf137,0.77, Yes, 12.50
C1orf198,0.92, Yes, 16.50
C1orf53,0.87, Yes, 14.90
C1orf61,0.70, Yes, 16.70
C20orf196,0.74, Yes, 13.10
C22orf34,0.81, Yes, 18.90
C2orf47,0.85, Yes, 18.10
C2orf91,0.76, Yes, 17.20
C4orf45,0.80, Yes, 7.10
C5orf17,0.82, Yes, 8.00
C5orf63,0.75, Yes, 14.70
C6orf120,0.79, Yes, 38.00
C6orf229,0.76, Yes, 23.30
C7orf71,0.71, Yes, 19.70
C8orf34,0.88, Yes, 23.10
C9orf116,0.76, Yes, 6.50
C9orf16,0.80, Yes, 7.60
CA13,0.85, Yes, 23.60
CABIN1,0.95, Yes, 26.00
CACNB1,0.93, Yes, 19.60
CALCA,0.71, Yes, 28.70
CAMK1D,0.85, Yes, 25.40
CAPG,0.81, Yes, 20.70
CAPN11,0.91, Yes, 26.70
CARTPT,0.59, Yes, 24.90
CASP12,0.76, Yes, 19.10
CBWD7,0.94, Yes, 25.40
CCDC120,0.83, Yes, 14.20
CCDC178,0.90, Yes, 15.80
CCDC3,0.89, Yes, 26.90
CCDC36,0.86, Yes, 16.10
CCDC69,0.94, Yes, 16.50
CCDC85C,0.90, Yes, 14.80
CCL13,0.74, Yes, 29.40
CCL7,0.77, Yes, 24.40
CCNJL,0.83, Yes, 25.10
CCP110,0.89, Yes, 19.10
CCSAP,0.78, Yes, 10.50
CD160,0.84, Yes, 30.00
CD164,0.84, Yes, 27.00
CD1D,0.83, Yes, 31.00
CD200R1L,0.81, Yes, 30.90
CD69,0.70, Yes, 33.00
CDC14C,0.81, Yes, 39.10
CDC16,0.85, Yes, 15.40
CDC37L1,0.79, Yes, 15.80
CDH26,0.90, Yes, 34.60
CDHR2,0.92, Yes, 34.10
CDK6,0.79, Yes, 19.80
CDO1,0.77, Yes, 14.50
CEACAM4,0.60, Yes, 28.70
CELA2B,0.84, Yes, 19.30
CENPE,0.95, Yes, 18.90
CEP112,0.88, Yes, 12.10
CEP44,0.83, Yes, 19.20
CERS4,0.86, Yes, 26.70
CFAP221,0.88, Yes, 16.30
CFHR1,0.87, Yes, 27.20
CFI,0.86, Yes, 25.60
CFL2,0.84, Yes, 13.90
CHAT,0.90, Yes, 22.10
CHD8,0.95, Yes, 19.90
CHI3L2,0.85, Yes, 29.20
CHML,0.92, Yes, 18.10
CHMP2A,0.86, Yes, 11.20
CHPF,0.89, Yes, 23.70
CHRDL2,0.89, Yes, 22.30
CHRNA5,0.83, Yes, 25.70
CIAPIN1,0.81, Yes, 18.90
CIB4,0.78, Yes, 16.70
CLC,0.75, Yes, 17.10
CLDN11,0.81, Yes, 32.00
CLDN8,0.82, Yes, 26.50
CLEC7A,0.72, Yes, 35.80
CLK4,0.87, Yes, 21.90
CLNS1A,0.80, Yes, 12.30
CLPTM1,0.86, Yes, 27.00
CMBL,0.78, Yes, 19.50
CMPK1,0.81, Yes, 20.60
CMTM7,0.71, Yes, 29.40
CNBP,0.64, Yes, 7.80
CNIH3,0.86, Yes, 29.00
CNOT8,0.83, Yes, 19.80
CNTN5,0.94, Yes, 24.50
COA4,0.85, Yes, 10.50
COL24A1,0.93, Yes, 29.00
COL26A1,0.88, Yes, 18.80
COL5A3,0.94, Yes, 24.70
COLCA2,0.69, Yes, 10.20
COPS6,0.87, Yes, 21.30
COX18,0.83, Yes, 25.40
CPOX,0.89, Yes, 22.40
CPSF2,0.89, Yes, 18.70
CPSF3L,0.87, Yes, 23.10
CRABP1,0.83, Yes, 13.40
CREB3L1,0.87, Yes, 29.10
CRIM1,0.92, Yes, 32.50
CRYAB,0.79, Yes, 10.30
CS,0.92, Yes, 19.80
CSF3,0.78, Yes, 18.30
CST3,0.70, Yes, 31.30
CSTF1,0.89, Yes, 14.10
CTAGE9,0.90, Yes, 29.90
CTBP1,0.85, Yes, 15.80
CTSV,0.87, Yes, 24.80
CTXN2,0.59, Yes, 29.80
CXorf56,0.76, Yes, 20.30
CYB5B,0.77, Yes, 25.10
CYP2B6,0.83, Yes, 27.10
CYP2G1P,0.65, Yes, 19.80
CYP4A22,0.89, Yes, 35.60
DACT1,0.85, Yes, 15.90
DAZ2,0.87, Yes, 18.40
DCAKD,0.87, Yes, 23.60
DCTN5,0.79, Yes, 14.70
DCUN1D2,0.80, Yes, 23.20
DDR1,0.89, Yes, 37.00
DDX11L8,0.87, Yes, 21.60
DDX41,0.87, Yes, 22.90
DEC1,0.36, Yes, 22.20
DEFB128,0.82, Yes, 35.00
DENND1C,0.88, Yes, 26.10
DERL2,0.80, Yes, 24.20
DGCR6,0.77, Yes, 18.30
DHRS3,0.89, Yes, 21.70
DHX8,0.94, Yes, 21.20
DIAPH2-AS1,0.77, Yes, 8.00
DIRAS3,0.81, Yes, 21.30
DLGAP3,0.89, Yes, 15.70
DNAH2,0.95, Yes, 25.70
DNAI1,0.89, Yes, 20.80
DNAJB8,0.74, Yes, 10.30
DNAJC22,0.78, Yes, 27.20
DNPH1,0.83, Yes, 13.40
DOHH,0.84, Yes, 19.10
DPP6,0.86, Yes, 35.10
DRG2,0.85, Yes, 18.50
DSE,0.93, Yes, 28.10
DTX3,0.86, Yes, 16.40
DUSP21,0.80, Yes, 17.30
DUX3,0.81, Yes, 16.40
DYNC1I1,0.90, Yes, 16.30
DYRK3,0.85, Yes, 19.10
E2F6,0.87, Yes, 17.30
EAPP,0.75, Yes, 15.30
ECM29,0.93, Yes, 24.20
EDA2R,0.64, Yes, 26.50
EDNRB,0.88, Yes, 30.10
EFNA4,0.85, Yes, 48.10
EGR1,0.92, Yes, 20.60
EID2,0.75, Yes, 19.10
ELAC1,0.80, Yes, 18.60
ELMOD2,0.84, Yes, 20.30
ELP2,0.93, Yes, 23.30
EMC7,0.89, Yes, 29.30
ENGASE,0.87, Yes, 25.00
ENKUR,0.83, Yes, 16.60
ENTHD1,0.89, Yes, 15.60
EPHB3,0.87, Yes, 34.30
ERAL1,0.86, Yes, 24.30
ERICH5,0.89, Yes, 10.00
ERVFC1-1,0.89, Yes, 25.40
ERVK-5,0.90, Yes, 20.10
ERVV-1,0.82, Yes, 22.50
ETNK1,0.82, Yes, 33.00
ETV2,0.80, Yes, 13.90
EVX1,0.78, Yes, 16.10
EXOSC1,0.81, Yes, 22.10
EZH1,0.84, Yes, 20.80
FABP6,0.83, Yes, 15.30
FAHD2B,0.82, Yes, 16.10
FAM111A,0.88, Yes, 20.40
FAM131C,0.80, Yes, 15.50
FAM132A,0.89, Yes, 26.90
FAM155B,0.83, Yes, 31.80
FAM160A2,0.86, Yes, 23.70
FAM178B,0.88, Yes, 27.30
FAM189A1,0.88, Yes, 26.90
FAM204A,0.80, Yes, 13.00
FAM218A,0.86, Yes, 16.80
FAM231D,0.83, Yes, 25.70
FAM25A,0.75, Yes, 10.50
FAM32A,0.61, Yes, 9.60
FAM53C,0.88, Yes, 14.00
FAM72A,0.69, Yes, 18.50
FAM84A,0.72, Yes, 17.40
FAM86JP,0.70, Yes, 4.50
FANCB,0.88, Yes, 23.50
FAT4,0.95, Yes, 29.40
FBRS,0.89, Yes, 16.20
FBXO31,0.83, Yes, 24.30
FBXO8,0.82, Yes, 24.30
FCF1,0.84, Yes, 14.90
FCRL5,0.95, Yes, 31.00
FGF14,0.84, Yes, 18.80
FGFR1,0.91, Yes, 26.00
FGFR1OP,0.88, Yes, 19.30
FIS1,0.84, Yes, 28.50
FKRP,0.88, Yes, 22.50
FLYWCH1,0.90, Yes, 16.60
FNBP1,0.90, Yes, 18.10
FOLR2,0.85, Yes, 31.90
FOXF1,0.89, Yes, 25.70
FOXO3,0.90, Yes, 12.50
FRMD3,0.90, Yes, 28.20
FRZB,0.94, Yes, 26.90
FSCN3,0.81, Yes, 19.50
FUCA2,0.79, Yes, 34.20
FXR2,0.91, Yes, 18.00
FZD8,0.83, Yes, 28.60
G6PC,0.89, Yes, 24.50
GABBR1,0.91, Yes, 29.70
GABRG2,0.85, Yes, 27.20
GAGE12H,0.89, Yes, 1.90
GALNT5,0.92, Yes, 25.80
GAS7,0.90, Yes, 15.60
GBA2,0.89, Yes, 22.80
GCN1L1,0.94, Yes, 26.60
GEM,0.77, Yes, 15.40
GGH,0.83, Yes, 29.10
GHR,0.88, Yes, 30.80
GIT1,0.85, Yes, 21.50
GJA9,0.85, Yes, 25.10
GJD2,0.83, Yes, 31.30
GLDN,0.86, Yes, 22.40
GLS2,0.84, Yes, 25.30
GLYATL1,0.83, Yes, 16.20
GNA14,0.91, Yes, 24.30
GNB2L1,0.78, Yes, 14.00
GNLY,0.80, Yes, 28.30
GOLGA8A,0.88, Yes, 15.70
GOLPH3L,0.87, Yes, 19.10
GPC1,0.87, Yes, 31.10
GPKOW,0.78, Yes, 20.00
GPR132,0.79, Yes, 34.20
GPR173,0.83, Yes, 28.30
GPR33,0.75, Yes, 27.90
GPR85,0.79, Yes, 31.00
GPX3,0.75, Yes, 22.80
GRB10,0.91, Yes, 17.90
GRID2,0.93, Yes, 26.70
GRM2,0.92, Yes, 30.20
GRTP1,0.85, Yes, 25.40
GSPT1,0.85, Yes, 20.90
GSR,0.86, Yes, 19.40
GSTT1,0.80, Yes, 20.10
GUCY1B2,0.83, Yes, 18.80
GUCY2C,0.94, Yes, 33.40
GUSBP11,0.74, Yes, 18.70
H2AFV,0.73, Yes, 17.60
H2BFM,0.81, Yes, 15.80
HACD4,0.84, Yes, 32.30
HAUS7,0.83, Yes, 22.20
HCG22,0.78, Yes, 29.20
HDAC8,0.86, Yes, 15.80
HEBP2,0.82, Yes, 16.50
HERPUD2,0.82, Yes, 23.40
HGD,0.87, Yes, 23.10
HHIPL1,0.92, Yes, 21.70
HIBADH,0.89, Yes, 21.00
HIDE1,0.81, Yes, 27.60
HLA-A,0.84, Yes, 26.70
HLA-B,0.77, Yes, 32.50
HLA-C,0.81, Yes, 29.40
HLA-DMB,0.87, Yes, 26.90
HLA-DPA1,0.88, Yes, 29.10
HLA-DQB2,0.81, Yes, 26.90
HLA-DRB1,0.84, Yes, 24.20
HMCES,0.92, Yes, 19.40
HMGXB3,0.93, Yes, 21.70
HMSD,0.74, Yes, 14.40
HNRNPUL1,0.84, Yes, 19.90
HOXB4,0.88, Yes, 15.70
HOXD4,0.90, Yes, 13.50
HPS1,0.90, Yes, 26.00
HSD17B10,0.74, Yes, 18.80
HSD17B2,0.82, Yes, 30.70
HSD17B6,0.82, Yes, 20.40
HSP90AA1,0.89, Yes, 20.50
HSPA8,0.85, Yes, 18.90
HTR4,0.85, Yes, 25.50
HYLS1,0.86, Yes, 14.30
IDS,0.85, Yes, 27.10
IFNA2,0.85, Yes, 31.00
IFT27,0.79, Yes, 17.30
IGFBP2,0.94, Yes, 28.80
IGFL3,0.68, Yes, 26.70
IGKV1D-16,0.70, Yes, 27.70
IGSF21,0.85, Yes, 30.00
IGSF9,0.90, Yes, 27.50
IKBKE,0.86, Yes, 25.20
IL1RAP,0.92, Yes, 37.20
IL2,0.82, Yes, 25.40
IL20RA,0.86, Yes, 24.80
IL7,0.71, Yes, 28.30
INAFM2,0.88, Yes, 25.10
IP6K2,0.84, Yes, 16.20
IQSEC3,0.92, Yes, 31.30
IRGM,0.76, Yes, 15.50
ISYNA1,0.89, Yes, 23.40
ITGA1,0.91, Yes, 33.00
ITGB6,0.93, Yes, 32.20
ITM2C,0.80, Yes, 28.30
ITPRIP,0.86, Yes, 29.50
JAG2,0.92, Yes, 27.90
JAKMIP1,0.88, Yes, 11.40
KBTBD3,0.87, Yes, 16.50
KCNB2,0.83, Yes, 31.50
KCNH4,0.87, Yes, 26.10
KCNJ11,0.88, Yes, 29.30
KCNK10,0.91, Yes, 34.30
KCNT2,0.89, Yes, 30.90
KDM6B,0.90, Yes, 19.50
KIAA0040,0.78, Yes, 20.70
KIAA0101,0.82, Yes, 6.10
KIAA0226,0.91, Yes, 17.80
KIAA0586,0.89, Yes, 22.10
KIAA1109,0.97, Yes, 27.00
KIAA1671,0.94, Yes, 14.80
KIF16B,0.89, Yes, 17.20
KIF25,0.87, Yes, 25.00
KIR3DL2,0.81, Yes, 34.40
KLC4,0.85, Yes, 19.60
KLF3,0.89, Yes, 18.70
KLHL26,0.83, Yes, 22.20
KLHL8,0.90, Yes, 21.90
KLRD1,0.84, Yes, 23.60
KPNB1,0.87, Yes, 25.90
KRT26,0.82, Yes, 16.30
KRT33A,0.83, Yes, 9.10
KRT37,0.83, Yes, 15.50
KRT6A,0.87, Yes, 13.10
KRTAP10-4,0.83, Yes, 20.60
KRTAP19-1,0.74, Yes, 7.00
KRTAP27-1,0.79, Yes, 11.30
KRTAP4-4,0.76, Yes, 10.90
KRTAP9-2,0.79, Yes, 13.40
KXD1,0.85, Yes, 14.00
L3MBTL4,0.86, Yes, 21.90
LACC1,0.81, Yes, 22.30
LAMC3,0.93, Yes, 26.00
LARP6,0.89, Yes, 15.80
LBP,0.84, Yes, 23.80
LCE2D,0.67, Yes, 9.50
LCORL,0.88, Yes, 16.30
LENG9,0.79, Yes, 18.40
LGALS14,0.82, Yes, 20.90
LGI1,0.87, Yes, 26.30
LHX6,0.72, Yes, 19.70
LILRB3,0.91, Yes, 32.60
LIMS2,0.80, Yes, 15.00
LINC00322,0.80, Yes, 19.40
LINC00469,0.79, Yes, 11.30
LINC00643,0.82, Yes, 6.10
LINC00869,0.89, Yes, 16.20
LIPI,0.88, Yes, 25.10
LMTK2,0.93, Yes, 35.40
LPCAT3,0.90, Yes, 28.00
LRCH1,0.90, Yes, 31.00
LRMP,0.84, Yes, 28.00
LRRC28,0.87, Yes, 17.90
LRRC74B,0.85, Yes, 18.80
LRRC9,0.91, Yes, 26.00
LRTOMT,0.79, Yes, 15.60
LSG1,0.88, Yes, 16.80
LUZP1,0.88, Yes, 15.00
LXN,0.78, Yes, 19.30
LYL1,0.75, Yes, 16.70
LYZ,0.80, Yes, 31.50
M1AP,0.87, Yes, 21.60
MAD2L1,0.67, Yes, 17.60
MAGEA6,0.78, Yes, 34.70
MAGED4,0.85, Yes, 32.20
MAGOHB,0.92, Yes, 20.70
MALRD1,0.92, Yes, 26.90
MAN1A2,0.88, Yes, 28.00
MAOA,0.91, Yes, 21.10
MAP2K4,0.83, Yes, 18.30
MAP3K9,0.89, Yes, 21.30
MAPK13,0.87, Yes, 18.70
MARCH1,0.82, Yes, 24.40
MAST4,0.95, Yes, 21.10
MBD3L2,0.79, Yes, 16.80
MCEMP1,0.57, Yes, 31.70
MCF2L2,0.93, Yes, 25.30
MCM7,0.85, Yes, 26.60
MEA1,0.69, Yes, 12.10
MED27,0.90, Yes, 20.60
MEI1,0.90, Yes, 29.00
MEPE,0.92, Yes, 27.50
METAP1D,0.84, Yes, 17.10
METTL21C,0.72, Yes, 25.20
METTL24,0.87, Yes, 26.10
MFSD2B,0.91, Yes, 29.20
MID1,0.87, Yes, 23.00
MIEN1,0.74, Yes, 9.90
MINOS1,0.72, Yes, 20.30
MIP,0.86, Yes, 22.70
MLST8,0.83, Yes, 12.20
MMAA,0.82, Yes, 22.90
MMP26,0.89, Yes, 22.60
MOGAT1,0.87, Yes, 26.80
MPP4,0.88, Yes, 16.70
MPZL2,0.84, Yes, 38.60
MRGPRX2,0.90, Yes, 32.00
MRPL24,0.86, Yes, 19.00
MRPL49,0.79, Yes, 9.50
MRPS21,0.54, Yes, 10.70
MSH3,0.93, Yes, 26.80
MSR1,0.85, Yes, 28.00
MT-ND5,0.90, Yes, 38.60
MT-RNR2,0.62, Yes, 20.10
MTERF3,0.89, Yes, 18.90
MTIF3,0.85, Yes, 18.10
MTMR4,0.87, Yes, 24.30
MTRR,0.91, Yes, 26.40
MUT,0.90, Yes, 24.80
MVK,0.83, Yes, 24.50
MXD1,0.73, Yes, 11.50
MYBPC3,0.92, Yes, 18.20
MYH16,0.91, Yes, 11.10
MYL12B,0.83, Yes, 14.20
MYLK4,0.89, Yes, 22.50
MYO7A,0.93, Yes, 27.00
MYOCD,0.91, Yes, 14.70
N4BP2L2,0.88, Yes, 17.00
NAIF1,0.87, Yes, 21.80
NANOGNB,0.78, Yes, 13.30
NAT6,0.83, Yes, 22.60
NBPF3,0.91, Yes, 15.30
NCAM1,0.92, Yes, 36.10
NCR3,0.80, Yes, 32.20
NDRG1,0.80, Yes, 19.00
NDUFB1,0.72, Yes, 23.60
NDUFS3,0.83, Yes, 20.60
NECAP2,0.88, Yes, 12.70
NELFB,0.87, Yes, 23.90
NEUROG2,0.87, Yes, 19.60
NFATC2IP,0.80, Yes, 18.90
NFKB1,0.92, Yes, 25.90
NICN1,0.72, Yes, 19.10
NIPAL2,0.86, Yes, 29.90
NKX1-1,0.85, Yes, 17.80
NLRC3,0.91, Yes, 21.20
NMRAL1,0.85, Yes, 20.80
NOD1,0.87, Yes, 24.10
NOMO1,0.93, Yes, 27.30
NOTUM,0.86, Yes, 23.00
NPHS1,0.96, Yes, 23.40
NPM2,0.80, Yes, 17.90
NPR1,0.90, Yes, 27.20
NPW,0.72, Yes, 32.20
NR2E1,0.80, Yes, 19.10
NRF1,0.89, Yes, 18.90
NRXN1,0.93, Yes, 30.30
NTAN1,0.84, Yes, 18.70
NTNG2,0.89, Yes, 31.20
NUDT17,0.84, Yes, 26.70
NUP37,0.88, Yes, 18.80
NXF3,0.89, Yes, 16.20
OBP2B,0.71, Yes, 20.70
OCA2,0.91, Yes, 32.80
OGFOD1,0.85, Yes, 22.50
OMG,0.88, Yes, 40.50
OPRL1,0.79, Yes, 33.60
OR10A2,0.82, Yes, 28.20
OR10H3,0.89, Yes, 30.50
OR11H1,0.76, Yes, 25.70
OR13J1,0.90, Yes, 24.60
OR1G1,0.88, Yes, 34.10
OR2A5,0.86, Yes, 27.10
OR2J3,0.86, Yes, 36.60
OR2T27,0.85, Yes, 32.30
OR2V1,0.88, Yes, 29.90
OR4C13,0.86, Yes, 30.90
OR4K14,0.87, Yes, 28.00
OR51E1,0.85, Yes, 28.20
OR52B6,0.84, Yes, 29.00
OR52P1P,0.86, Yes, 25.80
OR5B17,0.80, Yes, 30.20
OR5H14,0.91, Yes, 27.90
OR5M3,0.83, Yes, 33.40
OR6C6,0.81, Yes, 33.00
OR7C2,0.84, Yes, 25.50
OR8H3,0.89, Yes, 29.00
OR9Q2,0.90, Yes, 32.80
OSBPL2,0.83, Yes, 21.80
OTUD6A,0.94, Yes, 16.00
OVOS2,0.91, Yes, 29.20
P2RY2,0.88, Yes, 29.10
P4HTM,0.93, Yes, 26.40
PABPN1,0.95, Yes, 16.30
PAFAH1B2,0.82, Yes, 22.10
PAK3,0.90, Yes, 20.20
PANO1,0.89, Yes, 24.50
PAQR6,0.85, Yes, 24.90
PARK7,0.72, Yes, 21.00
PATL1,0.89, Yes, 26.10
PC,0.90, Yes, 20.80
PCDH17,0.92, Yes, 25.90
PCDHB4,0.91, Yes, 29.80
PCDHGA6,0.91, Yes, 32.10
PCOLCE,0.88, Yes, 20.40
PCTP,0.68, Yes, 10.80
PCYOX1L,0.87, Yes, 23.70
PDE1B,0.85, Yes, 27.30
PDGFC,0.86, Yes, 22.50
PDLIM7,0.92, Yes, 21.80
PDXP,0.72, Yes, 16.70
PDZD4,0.89, Yes, 14.10
PEG3,0.92, Yes, 17.50
PEX5,0.87, Yes, 21.10
PFN1,0.74, Yes, 12.30
PGAM4,0.84, Yes, 16.60
PGGT1B,0.87, Yes, 21.00
PGK1,0.86, Yes, 17.10
PHF1,0.78, Yes, 17.00
PHLPP1,0.93, Yes, 24.70
PICK1,0.87, Yes, 15.60
PIGU,0.86, Yes, 34.20
PIK3R5,0.90, Yes, 30.70
PINX1,0.86, Yes, 8.60
PIWIL4,0.85, Yes, 21.80
PKP4,0.92, Yes, 19.90
PLA2G16,0.87, Yes, 21.60
PLCB2,0.92, Yes, 20.50
PLD1,0.92, Yes, 26.50
PLEKHA1,0.83, Yes, 18.80
PLEKHH1,0.90, Yes, 22.50
PLK1,0.88, Yes, 24.80
PLXND1,0.92, Yes, 30.50
PMVK,0.79, Yes, 18.20
PNAS-138,0.65, Yes, 17.80
PNP,0.88, Yes, 20.60
POC1A,0.89, Yes, 15.00
POLD1,0.94, Yes, 18.60
POLR2H,0.81, Yes, 14.90
POLR3D,0.86, Yes, 11.70
POM121L1P,0.87, Yes, 19.70
POTEA,0.84, Yes, 19.50
PPAP2A,0.82, Yes, 30.10
PPP1CA,0.85, Yes, 19.80
PPP1R1A,0.75, Yes, 9.80
PPP6R3,0.88, Yes, 26.40
PPTC7,0.80, Yes, 18.70
PQLC2L,0.76, Yes, 21.80
PRAMEF2,0.81, Yes, 18.70
PRCD,0.63, Yes, 20.20
PRDX4,0.81, Yes, 27.80
PRF1,0.87, Yes, 30.70
PRIMA1,0.71, Yes, 32.50
PRKAA1,0.89, Yes, 22.70
PRKACB,0.87, Yes, 14.80
PRKD1,0.94, Yes, 22.90
PRLH,0.62, Yes, 26.80
PRORSD1P,0.77, Yes, 16.70
PRPF19,0.81, Yes, 17.40
PRPF40B,0.92, Yes, 14.20
PRR18,0.79, Yes, 16.50
PRSS12,0.91, Yes, 24.50
PRSS36,0.91, Yes, 28.50
PRSS48,0.87, Yes, 28.70
PSG4,0.84, Yes, 19.30
PSMB6,0.80, Yes, 22.00
PSMC3IP,0.75, Yes, 18.50
PSMG1,0.80, Yes, 19.90
PTCH1,0.90, Yes, 30.60
PTCHD2,0.93, Yes, 31.30
PTH2,0.62, Yes, 35.00
PTPN3,0.91, Yes, 19.90
PTPRK,0.92, Yes, 36.80
PUF60,0.91, Yes, 21.00
PVRL2,0.87, Yes, 25.30
RAB11A,0.81, Yes, 18.40
RAB25,0.77, Yes, 23.50
RAB44,0.84, Yes, 20.00
RAET1L,0.85, Yes, 48.20
RALGAPB,0.91, Yes, 27.00
RALGPS2,0.83, Yes, 20.30
RANBP6,0.91, Yes, 24.70
RANBP9,0.92, Yes, 22.30
RASSF1,0.84, Yes, 17.20
RBBP5,0.83, Yes, 16.70
RBKS,0.83, Yes, 23.40
RBM20,0.87, Yes, 18.20
RBM48,0.91, Yes, 16.80
RCC2,0.82, Yes, 18.40
RDH5,0.86, Yes, 23.20
REM1,0.82, Yes, 17.60
RFPL4A,0.77, Yes, 21.60
RFPL4AL1,0.77, Yes, 21.60
RGL4,0.88, Yes, 21.20
RGS6,0.81, Yes, 15.80
RGS9BP,0.83, Yes, 41.50
RHD,0.88, Yes, 32.00
RHOB,0.93, Yes, 19.60
RICTOR,0.89, Yes, 26.00
RITA1,0.90, Yes, 10.10
RNF112,0.89, Yes, 22.10
RNF130,0.83, Yes, 29.90
RNF157,0.88, Yes, 16.30
RNF214,0.89, Yes, 20.50
RNF43,0.91, Yes, 29.50
RNH1,0.87, Yes, 15.40
ROPN1L,0.81, Yes, 19.20
RPGRIP1,0.93, Yes, 19.80
RPL24,0.80, Yes, 11.00
RPL39,0.76, Yes, 2.10
RPS26P11,0.87, Yes, 15.40
RPTOR,0.90, Yes, 27.50
RRP7BP,0.76, Yes, 5.90
RSBN1,0.91, Yes, 17.50
RSPH10B,0.90, Yes, 25.40
RSPRY1,0.82, Yes, 28.40
RTF1,0.94, Yes, 21.00
S100G,0.73, Yes, 9.60
SACM1L,0.87, Yes, 27.20
SAMD12,0.68, Yes, 23.00
SAPCD2,0.85, Yes, 15.40
SATL1,0.87, Yes, 19.80
SCAMP4,0.93, Yes, 25.90
SCGB1D1,0.78, Yes, 26.80
SCIN,0.89, Yes, 14.70
SCRT2,0.79, Yes, 14.00
SDHA,0.84, Yes, 18.90
SEC22B,0.89, Yes, 37.90
SECISBP2,0.88, Yes, 21.30
SEMA3B,0.89, Yes, 21.70
SEPT4,0.82, Yes, 15.20
SERPINA2,0.90, Yes, 25.80
SERPINB9,0.85, Yes, 22.50
SESTD1,0.90, Yes, 24.40
SETX,0.96, Yes, 30.80
SH2D3C,0.89, Yes, 20.60
SHANK3,0.91, Yes, 19.40
SHOX,0.83, Yes, 21.00
SIAH3,0.89, Yes, 21.60
SIGLEC9,0.90, Yes, 28.60
SIGMAR1,0.80, Yes, 29.00
SIM2,0.91, Yes, 19.90
